,brand,ram,storage,battery,charging,price
0,Samsung,6.0,128.0,5000.0,25.0,6590000.0
1,realme,6.0,128.0,5600.0,45.0,4690000.0
2,iPhone,8.0,128.0,4500.0,20.0,16590000.0
3,iPhone,8.0,256.0,4500.0,20.0,19490000.0
4,iPhone,8.0,512.0,4500.0,20.0,24590000.0
5,iPhone,8.0,256.0,4500.0,20.0,31190000.0
6,iPhone,8.0,512.0,4500.0,20.0,37790000.0
7,iPhone,8.0,1024.0,4500.0,20.0,43390000.0
8,Samsung,8.0,128.0,5000.0,45.0,9790000.0
9,Samsung,8.0,256.0,5000.0,45.0,10790000.0
10,Samsung,12.0,256.0,5000.0,45.0,11790000.0
11,Samsung,12.0,256.0,5000.0,45.0,28990000.0
12,Samsung,12.0,512.0,5000.0,45.0,31790000.0
13,Samsung,12.0,1024.0,5000.0,45.0,38090000.0
15,Xiaomi,8.0,256.0,5500.0,33.0,6290000.0
16,Xiaomi,6.0,128.0,5500.0,33.0,4590000.0
17,Xiaomi,8.0,256.0,5500.0,45.0,7690000.0
18,OPPO,16.0,512.0,5600.0,80.0,44990000.0
19,OPPO,12.0,256.0,5600.0,80.0,15590000.0
20,OPPO,12.0,512.0,5600.0,80.0,16590000.0
21,realme,8.0,128.0,6000.0,45.0,5690000.0
22,realme,8.0,256.0,6000.0,45.0,6490000.0
23,realme,8.0,512.0,6000.0,45.0,6690000.0
24,vivo,8.0,256.0,5000.0,80.0,7490000.0
25,HONOR,12.0,256.0,5800.0,35.0,7490000.0
26,HONOR,12.0,256.0,6600.0,66.0,8990000.0
27,Tecno,8.0,128.0,5000.0,18.0,3590000.0
28,TCL,4.0,64.0,5000.0,10.0,1890000.0
29,iPhone,8.0,128.0,4500.0,20.0,22690000.0
30,iPhone,8.0,512.0,4500.0,20.0,31990000.0
31,iPhone,8.0,256.0,4500.0,20.0,25990000.0
32,iPhone,8.0,128.0,4500.0,20.0,19290000.0
33,iPhone,8.0,256.0,4500.0,20.0,22990000.0
34,iPhone,8.0,512.0,4500.0,20.0,28990000.0
35,Samsung,12.0,256.0,5000.0,45.0,23990000.0
36,Samsung,12.0,512.0,5000.0,45.0,26090000.0
37,Samsung,8.0,256.0,5000.0,25.0,6990000.0
38,Samsung,8.0,128.0,5000.0,25.0,6090000.0
39,Xiaomi,8.0,256.0,5110.0,45.0,8890000.0
